col_0,Partner,col_2,HS Code,Product,Year,UOM,April_Value,April_Qty,May_Value,May_Qty,June_Value,June_Qty,July_Value,July_Qty,August_Value,August_Qty,September_Value,September_Qty,October_Value,October_Qty,November_Value,November_Qty,December_Value,December_Qty,January_Value,January_Qty,February_Value,February_Qty,March_Value,March_Qty,Total_Value,Total_Qty,Total_Period/Period %  Change (Value),Total_Reporter Code,Total_Partner Code,Total_Product Code,Total_col,source_file
11,El Salvador,1,0810904670,"RAMBUTAN, FRESH",2024-2024,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,79,"43,711.0",132,"70,750.0",0,0.0,0,0.0,,,,,,,211,"114,461.0",,US,ES,0810904670,,Standard_Query_07568.csv
12,France(*),1,0810500000,"KIWI FRUIT,FRESH",2023-2023,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,284.0,0,0.0,0,0.0,,,,,,,4,284.0,,US,FR,0810500000,,Standard_Query_07568.csv
12,France(*),2,0810500090,"KIWI FRUIT,NES",2024-2024,KG,270,"92,400.0",68,"23,100.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,338,"115,500.0",,US,FR,0810500090,,Standard_Query_07568.csv
12,France(*),3,0810904680,"FRUITS, FRS, NES",2024-2024,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,567.0,0,0.0,0,0.0,0,0.0,,,,,,,9,567.0,,US,FR,0810904680,,Standard_Query_07568.csv
12,France(*),3,0810904680,"FRUITS, FRS, NES",2025-2025,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,783.0,0,0.0,0,0.0,0,0.0,,,,,,,11,783.0,,US,FR,0810904680,,Standard_Query_07568.csv
13,Greece,1,0810500000,"KIWI FRUIT,FRESH",2023-2023,KG,"2,196","1,137,988.0","1,115","695,408.0",31,"22,464.0",0,0.0,0,0.0,23,"9,200.0",566,"250,912.0","2,835","1,341,983.0","7,494","3,340,280.0",,,,,,,"14,260","6,798,235.0",,US,GR,0810500000,,Standard_Query_07568.csv
13,Greece,2,0810500010,"KIWI FRUIT,ORG",2024-2024,KG,115,"44,208.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,185,"77,271.0",424,"153,712.0",,,,,,,724,"275,191.0",,US,GR,0810500010,,Standard_Query_07568.csv
13,Greece,2,0810500010,"KIWI FRUIT,ORG",2025-2025,KG,718,"308,532.0",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,113,"42,320.0","1,345","480,800.0",,,,,,,"2,176","831,652.0",,US,GR,0810500010,,Standard_Query_07568.csv
13,Greece,3,0810500090,"KIWI FRUIT,NES",2024-2024,KG,"4,291","1,901,030.0",602,"272,352.0",0,0.0,0,0.0,0,0.0,0,0.0,"1,025","447,330.0","2,943","1,163,105.0","5,402","2,253,271.0",,,,,,,"14,264","6,037,088.0",,US,GR,0810500090,,Standard_Query_07568.csv
13,Greece,3,0810500090,"KIWI FRUIT,NES",2025-2025,KG,"4,520","2,085,333.0","1,563","821,822.0",0,0.0,0,0.0,0,0.0,0,0.0,791,"329,016.0","3,034","1,180,981.0","12,832","5,011,178.0",,,,,,,"22,740","9,428,330.0",,US,GR,0810500090,,Standard_Query_07568.csv
13,Greece,4,0810904660,"POMEGRANATES, FR",2024-2024,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,41,"14,144.0",,,,,,,41,"14,144.0",,US,GR,0810904660,,Standard_Query_07568.csv
14,Guatemala,1,0810904610,TOMATILLOS FR,2023-2023,KG,0,0.0,0,0.0,126,"39,545.0",34,"8,661.0",126,"51,311.0",300,"116,948.0",201,"91,863.0",290,"153,860.0",71,"38,415.0",,,,,,,"1,149","500,603.0",,US,GT,0810904610,,Standard_Query_07568.csv
14,Guatemala,1,0810904610,TOMATILLOS FR,2024-2024,KG,0,0.0,0,0.0,0,0.0,0,0.0,230,"67,502.0",397,"121,796.0",355,"108,985.0",25,"13,090.0",22,"11,781.0",,,,,,,"1,030","323,154.0",,US,GT,0810904610,,Standard_Query_07568.csv
14,Guatemala,2,0810904630,"DRAGON FRUIT, FR",2023-2023,KG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,"2,690.0",0,0.0,0,0.0,0,0.0,,,,,,,6,"2,690.0",,US,GT,0810904630,,Standard_Query_07568.csv
14,Guatemala,3,0810904670,"RAMBUTAN, FRESH",2023-2023,KG,0,0.0,50,"12,350.0","1,349","516,167.0","1,506","749,260.0","1,281","747,182.0","1,186","471,175.0",879,"365,405.0",659,"269,001.0",215,"90,251.0",,,,,,,"7,124","3,220,791.0",,US,GT,0810904670,,Standard_Query_07568.csv
14,Guatemala,3,0810904670,"RAMBUTAN, FRESH",2024-2024,KG,14,"5,242.0",490,"190,281.0",947,"438,154.0","1,092","636,640.0",920,"408,561.0","1,185","400,123.0","1,024","342,598.0",503,"228,823.0",86,"38,645.0",,,,,,,"6,260","2,689,067.0",,US,GT,0810904670,,Standard_Query_07568.csv
14,Guatemala,3,0810904670,"RAMBUTAN, FRESH",2025-2025,KG,0,0.0,546,"207,860.0","1,035","598,213.0",788,"495,230.0",779,"445,650.0",908,"488,062.0","1,470","764,781.0","1,042","565,084.0",593,"333,756.0",,,,,,,"7,161","3,898,636.0",,US,GT,0810904670,,Standard_Query_07568.csv
14,Guatemala,4,0810904675,TOMATILLOS FR,2025-2025,KG,0,0.0,0,0.0,0,0.0,0,0.0,44,"18,002.0",0,0.0,0,0.0,60,"23,728.0",0,0.0,,,,,,,104,"41,730.0",,US,GT,0810904675,,Standard_Query_07568.csv
